,Date,Confirmed_1,Discharges_1,LocalTransmission_1
617,10/8/2021,107.0,-991.0,115.0
618,10/9/2021,113.0,565.0,110.0
619,10/10/2021,-894.0,-550.0,-893.0
620,10/11/2021,-546.0,-220.0,-552.0
621,10/12/2021,713.0,-139.0,717.0
622,10/13/2021,214.0,1105.0,212.0
623,10/14/2021,-258.0,212.0,-255.0
624,10/15/2021,513.0,-143.0,514.0
625,10/16/2021,-97.0,145.0,-99.0
626,10/17/2021,-290.0,325.0,-289.0
627,10/18/2021,-505.0,-683.0,-503.0
628,10/19/2021,1441.0,-536.0,1429.0
629,10/20/2021,-132.0,180.0,-130.0
630,10/21/2021,-423.0,-109.0,-414.0
631,10/22/2021,198.0,219.0,194.0
632,10/23/2021,-39.0,687.0,-37.0
633,10/24/2021,-215.0,-143.0,-219.0
634,10/25/2021,-209.0,-415.0,-210.0
635,10/26/2021,103.0,-98.0,107.0
636,10/27/2021,2047.0,316.0,2040.0
637,10/28/2021,-1892.0,1176.0,-1889.0
638,10/29/2021,816.0,-1337.0,823.0
639,10/30/2021,-1136.0,901.0,-1138.0
640,10/31/2021,51.0,-153.0,51.0
641,11/1/2021,-693.0,-207.0,-692.0
642,11/2/2021,1026.0,-546.0,1026.0
643,11/3/2021,139.0,334.0,139.0
644,11/4/2021,-632.0,1747.0,-632.0
645,11/5/2021,-1236.0,-1430.0,-1241.0
646,11/6/2021,1268.0,214.0,1271.0
647,11/7/2021,-482.0,-945.0,-482.0
648,11/8/2021,-83.0,290.0,-85.0
649,11/9/2021,927.0,-382.0,928.0
650,11/10/2021,84.0,-339.0,82.0
651,11/11/2021,-1085.0,1915.0,-1094.0
652,11/12/2021,703.0,-1431.0,714.0
653,11/13/2021,-795.0,-441.0,-794.0
654,11/14/2021,-581.0,-335.0,-582.0
655,11/15/2021,346.0,1067.0,348.0
656,11/16/2021,0.0,-909.0,-1.0
657,11/17/2021,1405.0,194.0,1400.0
658,11/18/2021,-1436.0,1217.0,-1433.0
659,11/19/2021,-304.0,-898.0,-301.0
660,11/20/2021,197.0,-341.0,195.0
661,11/21/2021,-261.0,107.0,-268.0
662,11/22/2021,-209.0,-513.0,-202.0
663,11/23/2021,321.0,-349.0,320.0
664,11/24/2021,297.0,497.0,295.0
665,11/25/2021,-804.0,948.0,-811.0
666,11/26/2021,-185.0,-990.0,-173.0
667,11/27/2021,671.0,-336.0,666.0
668,11/28/2021,-1014.0,164.0,-1008.0
669,11/29/2021,356.0,-250.0,351.0
670,11/30/2021,136.0,-412.0,122.0
